Country,State,Year,Coal Category,Coal Supplying Company Name,Coal Supplyling Sector,Coal Type,Coal Supplied (UOM:t(Tonnes))
India,Rajasthan,2019,LIGNITE,VSLPPL,OTHER PUBLIC,LIGNITE,0.305
India,Madhya Pradesh,2017,COAL,WCL,CIL,COOKING,0.13
India,Jharkhand,2012,COAL,BCCL,CIL,NON-COOKING,2.957
India,Madhya Pradesh,2013,COAL,WCL,CIL,COOKING,0.33
India,Rajasthan,2012,LIGNITE,VSLPPL,OTHER PUBLIC,LIGNITE,0.843
India,Meghalaya,2012,COAL,MEG,PRIVATE,NON-COOKING,7.206
India,Arunachal Pradesh,2013,COAL,APMDTCL,OTHER PUBLIC,NON-COOKING,0.073
India,Madhya Pradesh,2014,COAL,WCL,CIL,NON-COOKING,5.305
India,Gujarat,2019,LIGNITE,GHCL,PRIVATE,LIGNITE,0.093
India,Madhya Pradesh,2017,COAL,SECL,CIL,NON-COOKING,11.93
India,Jharkhand,2020,COAL,BCCL,CIL,COOKING,25.801
India,Jharkhand,2011,COAL,PANEM/PSEB,OTHER PUBLIC,NON-COOKING,8.031
India,Odisha,2015,COAL,HIL,PRIVATE,NON-COOKING,2.248
India,Rajasthan,2014,LIGNITE,VSLPPL,OTHER PUBLIC,LIGNITE,0.89
India,Rajasthan,2019,LIGNITE,BLMCL,OTHER PUBLIC,LIGNITE,5.845
India,Chhattisgarh,2019,COAL,SECL,CIL,NON-COOKING,144.504
India,Jammu And Kashmir,2020,COAL,JKML,OTHER PUBLIC,NON-COOKING,0.013693808
India,Jharkhand,2019,COAL,IISCO/SAIL,OTHER PUBLIC,NON-COOKING,0.003
India,Maharashtra,2011,COAL,KECML/KEMTA,PRIVATE,NON-COOKING,2.275
India,Jharkhand,2020,COAL,ECL,CIL,NON-COOKING,21.21
India,Jharkhand,2020,COAL,NTPC,OTHER PUBLIC,NON-COOKING,9.421
India,Assam,2013,COAL,NEC,OTHER PUBLIC,NON-COOKING,0.605
India,Gujarat,2016,LIGNITE,GHCL,PRIVATE,LIGNITE,0.092
India,Gujarat,2015,LIGNITE,GMDCL,OTHER PUBLIC,LIGNITE,8.7
India,Jharkhand,2012,COAL,ECL,CIL,NON-COOKING,14.209
India,Madhya Pradesh,2019,COAL,SECL,CIL,NON-COOKING,12.598
India,Jharkhand,2019,COAL,CCL,CIL,NON-COOKING,59.381
India,Jharkhand,2015,COAL,BCCL,CIL,COOKING,30.194
India,Ladakh,2011,COAL,JKML,OTHER PUBLIC,NON-COOKING,0.000524901
India,Chhattisgarh,2012,COAL,SECL,CIL,NON-COOKING,99.416
India,Jharkhand,2014,COAL,ECL,CIL,COOKING,0.038
India,Madhya Pradesh,2016,COAL,WCL,CIL,NON-COOKING,6.42
India,Gujarat,2014,LIGNITE,GMDCL,OTHER PUBLIC,LIGNITE,8.398
India,Chhattisgarh,2020,COAL,AMBUJA,PRIVATE,NON-COOKING,0.4
India,Chhattisgarh,2017,COAL,BALCO,PRIVATE,NON-COOKING,0.18
India,Chhattisgarh,2014,COAL,PIL,PRIVATE,NON-COOKING,1
India,Rajasthan,2017,LIGNITE,NLC,OTHER PUBLIC,LIGNITE,1.41
India,Chhattisgarh,2016,COAL,SECL,CIL,COOKING,0.135
India,Assam,2019,COAL,NEC,CIL,NON-COOKING,0.784
India,Madhya Pradesh,2012,COAL,SECL,CIL,NON-COOKING,14.232
India,Meghalaya,2014,COAL,MEG,PRIVATE,NON-COOKING,5.732
India,Chhattisgarh,2020,COAL,HIL,PRIVATE,COOKING,0
India,Jharkhand,2013,COAL,UML,PRIVATE,NON-COOKING,0.56
India,Chhattisgarh,2015,COAL,SECL,CIL,COOKING,0.126
India,Rajasthan,2013,LIGNITE,BLMCL,OTHER PUBLIC,LIGNITE,3.5
India,Jharkhand,2014,COAL,CCL,CIL,NON-COOKING,31.581
India,Maharashtra,2015,COAL,SIL,PRIVATE,NON-COOKING,0.196
India,Chhattisgarh,2020,COAL,AMBUJA,PRIVATE,COOKING,0
India,Jharkhand,2013,COAL,BCCL,CIL,NON-COOKING,4.195
India,Odisha,2020,COAL,NTPC,OTHER PUBLIC,COOKING,0
India,Rajasthan,2018,LIGNITE,BLMCL,OTHER PUBLIC,LIGNITE,6.265
India,Madhya Pradesh,2016,COAL,SECL,CIL,NON-COOKING,13.728
India,Jharkhand,2011,COAL,SAIL,OTHER PUBLIC,COOKING,0.014
India,Madhya Pradesh,2013,COAL,SECL,CIL,NON-COOKING,15.182
India,Chhattisgarh,2020,COAL,HIL,PRIVATE,NON-COOKING,0.674
India,Chhattisgarh,2015,COAL,SECL,CIL,NON-COOKING,115.066
India,Madhya Pradesh,2016,COAL,WCL,CIL,COOKING,0.209
India,Maharashtra,2019,COAL,WCL,CIL,NON-COOKING,49.248
India,Jharkhand,2013,COAL,IISCO/SAIL,OTHER PUBLIC,COOKING,0.56
India,Jammu And Kashmir,2013,COAL,JKML,OTHER PUBLIC,NON-COOKING,0.018584454
India,Ladakh,2015,COAL,JKML,OTHER PUBLIC,NON-COOKING,0.000284321
India,Madhya Pradesh,2019,COAL,SPL,PRIVATE,NON-COOKING,18
India,Telangana,2012,COAL,SCCL,OTHER PUBLIC,NON-COOKING,21.60747262
India,Rajasthan,2012,LIGNITE,RSMML,OTHER PUBLIC,LIGNITE,2.12
India,Jharkhand,2017,COAL,CCL,CIL,COOKING,21.99
India,Madhya Pradesh,2012,COAL,WCL,CIL,NON-COOKING,6.05
India,Madhya Pradesh,2014,COAL,SPL,PRIVATE,NON-COOKING,1.695
India,Jharkhand,2011,COAL,IISCO/SAIL,OTHER PUBLIC,COOKING,0.855
India,Madhya Pradesh,2011,COAL,WCL,CIL,NON-COOKING,6.319
India,Maharashtra,2012,COAL,KECML/KEMTA,PRIVATE,NON-COOKING,2.189
India,Madhya Pradesh,2020,COAL,JPVL,PRIVATE,COOKING,0
India,Maharashtra,2013,COAL,BSIL,PRIVATE,NON-COOKING,0.062
India,Ladakh,2018,COAL,JKML,OTHER PUBLIC,NON-COOKING,0.000306192
India,Jharkhand,2019,COAL,ECL,CIL,COOKING,0.029
India,Chhattisgarh,2012,COAL,JNL,PRIVATE,NON-COOKING,0.48
India,Jharkhand,2013,COAL,PANEM/PSEB,OTHER PUBLIC,NON-COOKING,6.926
India,Andhra Pradesh,2012,COAL,SCCL,OTHER PUBLIC,NON-COOKING,30.60352738
India,Rajasthan,2018,LIGNITE,VSLPPL,OTHER PUBLIC,LIGNITE,0.426
India,Maharashtra,2020,COAL,SIL,PRIVATE,NON-COOKING,0.27
India,Jharkhand,2018,COAL,HIL,PRIVATE,NON-COOKING,0.8
India,Maharashtra,2018,COAL,SIL,PRIVATE,NON-COOKING,0.27
India,Maharashtra,2018,COAL,WCL,CIL,NON-COOKING,41.774
India,Madhya Pradesh,2013,COAL,WCL,CIL,NON-COOKING,5.98
India,Jharkhand,2015,COAL,WBPDCL,OTHER PUBLIC,NON-COOKING,4
India,Rajasthan,2019,LIGNITE,NLC,OTHER PUBLIC,LIGNITE,1.209
India,Rajasthan,2011,LIGNITE,BLMCL,OTHER PUBLIC,LIGNITE,0.642
India,Ladakh,2014,COAL,JKML,OTHER PUBLIC,NON-COOKING,0.000415546
India,Jharkhand,2020,COAL,SAIL,OTHER PUBLIC,COOKING,0
India,Rajasthan,2015,LIGNITE,RSMML,OTHER PUBLIC,LIGNITE,1.405
India,Jharkhand,2015,COAL,CCL,CIL,NON-COOKING,36.326
India,Chhattisgarh,2019,COAL,RRVUNL,OTHER PUBLIC,NON-COOKING,15
India,Rajasthan,2016,LIGNITE,BLMCL,OTHER PUBLIC,LIGNITE,6.679
India,Madhya Pradesh,2011,COAL,BLA,PRIVATE,NON-COOKING,0.297
India,Ladakh,2020,COAL,JKML,OTHER PUBLIC,COOKING,0
India,Gujarat,2012,LIGNITE,GIPCL,OTHER PUBLIC,LIGNITE,2.716
India,Odisha,2015,COAL,MCL,CIL,NON-COOKING,121.379
India,Madhya Pradesh,2012,COAL,BLA,PRIVATE,NON-COOKING,0.299
India,Rajasthan,2013,LIGNITE,RSMML,OTHER PUBLIC,LIGNITE,1.387
India,Maharashtra,2015,COAL,BSIL,PRIVATE,NON-COOKING,0.031
India,Gujarat,2011,LIGNITE,GIPCL,OTHER PUBLIC,LIGNITE,2.521
India,Maharashtra,2016,COAL,SIL,PRIVATE,NON-COOKING,0.165
India,Jharkhand,2018,COAL,JSMDCL,OTHER PUBLIC,NON-COOKING,0.351
India,Gujarat,2020,LIGNITE,GHCL,PRIVATE,LIGNITE,0.083
India,Gujarat,2019,LIGNITE,GIPCL,OTHER PUBLIC,LIGNITE,3.313
India,Jharkhand,2019,COAL,IISCO/SAIL,OTHER PUBLIC,COOKING,0.443
India,Jharkhand,2017,COAL,CCL,CIL,NON-COOKING,45.06
India,Chhattisgarh,2016,COAL,BALCO,PRIVATE,NON-COOKING,0.12
India,Jharkhand,2019,COAL,BCCL,CIL,COOKING,23.283
India,Jharkhand,2011,COAL,DVC,OTHER PUBLIC,COOKING,0.311
India,Assam,2015,COAL,NEC,OTHER PUBLIC,NON-COOKING,0.779
India,Madhya Pradesh,2015,COAL,SPL,PRIVATE,NON-COOKING,9.406
India,Jharkhand,2019,COAL,NTPC,OTHER PUBLIC,NON-COOKING,7.311
India,Jharkhand,2016,COAL,IISCO/SAIL,OTHER PUBLIC,COOKING,0.572
India,Chhattisgarh,2017,COAL,HIL,PRIVATE,NON-COOKING,2
India,Maharashtra,2012,COAL,TUML,PRIVATE,NON-COOKING,0.066
India,Chhattisgarh,2012,COAL,SEML,PRIVATE,NON-COOKING,0.774
India,Chhattisgarh,2020,COAL,BALCO,PRIVATE,NON-COOKING,1
India,Chhattisgarh,2014,COAL,SEML,PRIVATE,NON-COOKING,1.165
India,Chhattisgarh,2014,COAL,MIL/MIEL,PRIVATE,NON-COOKING,0.919
India,Odisha,2019,COAL,MCL,CIL,NON-COOKING,144.151
India,Ladakh,2013,COAL,JKML,OTHER PUBLIC,NON-COOKING,0.000415546
India,Madhya Pradesh,2015,COAL,SECL,CIL,NON-COOKING,13.083
India,Madhya Pradesh,2014,COAL,SECL,CIL,NON-COOKING,14.118
India,Jharkhand,2020,COAL,TISCO/TSL,PRIVATE,NON-COOKING,0
India,Jharkhand,2015,COAL,IISCO/SAIL,OTHER PUBLIC,COOKING,0.42
India,Maharashtra,2020,COAL,TUML,PRIVATE,NON-COOKING,0.286
India,Maharashtra,2014,COAL,SIL,PRIVATE,NON-COOKING,0.148
India,Tamil Nadu,2020,LIGNITE,NLC,OTHER PUBLIC,LIGNITE,23.516
India,Jharkhand,2012,COAL,DVC,OTHER PUBLIC,COOKING,0.328
India,Jharkhand,2020,COAL,IISCO/SAIL,OTHER PUBLIC,NON-COOKING,0
India,Tamil Nadu,2015,LIGNITE,NLC,OTHER PUBLIC,LIGNITE,26.543
India,Tamil Nadu,2014,LIGNITE,NLC,OTHER PUBLIC,LIGNITE,26.609
India,Jharkhand,2018,COAL,DVC,OTHER PUBLIC,COOKING,0.047
India,Jharkhand,2018,COAL,IISCO/SAIL,OTHER PUBLIC,COOKING,0.415
India,Chhattisgarh,2014,COAL,JNL,PRIVATE,NON-COOKING,0.446
India,Chhattisgarh,2011,COAL,SECL,CIL,COOKING,0.163
India,Odisha,2017,COAL,GMR,PRIVATE,NON-COOKING,0.15
India,Jharkhand,2011,COAL,TISCO/TSL,PRIVATE,COOKING,7.003
India,Andhra Pradesh,2013,COAL,SCCL,OTHER PUBLIC,NON-COOKING,31.17736916
India,Chhattisgarh,2019,COAL,AMBUJA,PRIVATE,NON-COOKING,0.1
India,Rajasthan,2020,LIGNITE,BLMCL,OTHER PUBLIC,LIGNITE,5.413
India,Jharkhand,2015,COAL,PANEM/PSEB,OTHER PUBLIC,NON-COOKING,3.433
India,Jharkhand,2018,COAL,ECL,CIL,COOKING,0.034
India,Jharkhand,2011,COAL,CCL,CIL,COOKING,15.435
India,Madhya Pradesh,2014,COAL,WCL,CIL,COOKING,0.249
India,Madhya Pradesh,2011,COAL,WCL,CIL,COOKING,0.403
India,Odisha,2020,COAL,NTPC,OTHER PUBLIC,NON-COOKING,1.54
India,Chhattisgarh,2015,COAL,JPL,PRIVATE,NON-COOKING,6.248
India,Jharkhand,2014,COAL,SAIL,OTHER PUBLIC,NON-COOKING,0.025
India,Maharashtra,2014,COAL,KECML/KEMTA,PRIVATE,NON-COOKING,2.502
India,Jharkhand,2018,COAL,TISCO/TSL,PRIVATE,COOKING,6.224
India,Maharashtra,2011,COAL,BSIL,PRIVATE,NON-COOKING,0.015
India,Jharkhand,2014,COAL,SAIL,OTHER PUBLIC,COOKING,0.044
India,Jharkhand,2011,COAL,ESCL,PRIVATE,COOKING,0.034
India,Gujarat,2014,LIGNITE,GIPCL,OTHER PUBLIC,LIGNITE,3.006
India,Chhattisgarh,2020,COAL,CSPGCL,OTHER PUBLIC,COOKING,0
India,Jharkhand,2015,COAL,UML,PRIVATE,NON-COOKING,0.79
India,Madhya Pradesh,2020,COAL,NCL,CIL,COOKING,0
India,Telangana,2013,COAL,SCCL,OTHER PUBLIC,NON-COOKING,22.01263084
India,Madhya Pradesh,2020,COAL,RCCPL,PRIVATE,COOKING,0
India,Madhya Pradesh,2019,COAL,WCL,CIL,COOKING,0.188
India,Chhattisgarh,2019,COAL,BALCO,PRIVATE,NON-COOKING,0.667
India,Ladakh,2017,COAL,JKML,OTHER PUBLIC,NON-COOKING,0.000218709
India,Assam,2020,COAL,NEC,CIL,COOKING,0
India,Jharkhand,2020,COAL,ECL,CIL,COOKING,0.026
India,Jharkhand,2012,COAL,TISCO/TSL,PRIVATE,NON-COOKING,0.067
India,Odisha,2020,COAL,GMR,PRIVATE,NON-COOKING,0
India,Jharkhand,2016,COAL,JSMDCL,OTHER PUBLIC,NON-COOKING,0.19
India,Madhya Pradesh,2020,COAL,JPVL,PRIVATE,NON-COOKING,2.8
India,Jharkhand,2018,COAL,CCL,CIL,NON-COOKING,53.828
India,Jharkhand,2014,COAL,TISCO/TSL,PRIVATE,COOKING,6.905
India,Jharkhand,2014,COAL,ESCL,PRIVATE,NON-COOKING,0.051
India,Chhattisgarh,2018,COAL,HIL,PRIVATE,NON-COOKING,1.614
India,Chhattisgarh,2017,COAL,RRVUNL,OTHER PUBLIC,NON-COOKING,8.27
India,Maharashtra,2012,COAL,WCL,CIL,NON-COOKING,36.741
India,Chhattisgarh,2012,COAL,MIL/MIEL,PRIVATE,NON-COOKING,0.851
India,Madhya Pradesh,2018,COAL,NCL,CIL,NON-COOKING,74.709
India,Odisha,2017,COAL,MCL,CIL,NON-COOKING,139.21
India,Gujarat,2017,LIGNITE,GIPCL,OTHER PUBLIC,LIGNITE,2.82
India,Tamil Nadu,2012,LIGNITE,NLC,OTHER PUBLIC,LIGNITE,24.472
India,Odisha,2020,COAL,OCL,PRIVATE,COOKING,0
India,Madhya Pradesh,2015,COAL,BLA,PRIVATE,NON-COOKING,0.3
India,Chhattisgarh,2013,COAL,JSPL,PRIVATE,NON-COOKING,5.999
India,Rajasthan,2020,LIGNITE,VSLPPL,OTHER PUBLIC,LIGNITE,0.672
India,Madhya Pradesh,2017,COAL,SPL,PRIVATE,NON-COOKING,17
India,Odisha,2013,COAL,HIL,PRIVATE,NON-COOKING,2.237
India,Chhattisgarh,2012,COAL,JSPL,PRIVATE,NON-COOKING,5.998
India,Jharkhand,2013,COAL,ESCL,PRIVATE,NON-COOKING,0.005
India,Rajasthan,2016,LIGNITE,VSLPPL,OTHER PUBLIC,LIGNITE,0.617
India,Odisha,2019,COAL,OCL,PRIVATE,NON-COOKING,0.161
India,Rajasthan,2014,LIGNITE,BLMCL,OTHER PUBLIC,LIGNITE,3.75
India,Jharkhand,2012,COAL,PANEM/PSEB,OTHER PUBLIC,NON-COOKING,8.301
India,Chhattisgarh,2020,COAL,SECL,CIL,NON-COOKING,139.721
India,Gujarat,2011,LIGNITE,GMDCL,OTHER PUBLIC,LIGNITE,10.232
India,Assam,2017,COAL,NEC,CIL,NON-COOKING,0.6
India,Chhattisgarh,2016,COAL,HIL,PRIVATE,NON-COOKING,0.069
India,Madhya Pradesh,2020,COAL,SECL,CIL,NON-COOKING,10.575
India,Ladakh,2019,COAL,JKML,OTHER PUBLIC,NON-COOKING,0.000284321
India,Assam,2018,COAL,NEC,CIL,NON-COOKING,0.781
India,Jharkhand,2020,COAL,HIL,PRIVATE,COOKING,0
India,Rajasthan,2020,LIGNITE,NLC,OTHER PUBLIC,LIGNITE,1.348
India,Meghalaya,2015,COAL,MEG,PRIVATE,NON-COOKING,5.732
India,Gujarat,2018,LIGNITE,GHCL,PRIVATE,LIGNITE,0.057
India,Jammu And Kashmir,2015,COAL,JKML,OTHER PUBLIC,NON-COOKING,0.012715679
India,Chhattisgarh,2018,COAL,SECL,CIL,NON-COOKING,132.421
India,Madhya Pradesh,2012,COAL,NCL,CIL,NON-COOKING,50.223
India,Jharkhand,2013,COAL,SAIL,OTHER PUBLIC,COOKING,0.033
India,Rajasthan,2014,LIGNITE,RSMML,OTHER PUBLIC,LIGNITE,1.428
India,Rajasthan,2011,LIGNITE,RSMML,OTHER PUBLIC,LIGNITE,0.883
India,Jammu And Kashmir,2020,COAL,JKML,OTHER PUBLIC,COOKING,0
India,Chhattisgarh,2020,COAL,CSPGCL,OTHER PUBLIC,NON-COOKING,0.509
India,Jharkhand,2012,COAL,UML,PRIVATE,NON-COOKING,0.351
India,Maharashtra,2020,COAL,SIL,PRIVATE,COOKING,0
India,Maharashtra,2013,COAL,TUML,PRIVATE,NON-COOKING,0.341
India,Ladakh,2012,COAL,JKML,OTHER PUBLIC,NON-COOKING,0.000437417
India,Ladakh,2020,COAL,JKML,OTHER PUBLIC,NON-COOKING,0.000306192
India,Madhya Pradesh,2013,COAL,NCL,CIL,NON-COOKING,53.931
India,Jharkhand,2012,COAL,IISCO/SAIL,OTHER PUBLIC,COOKING,0.434
India,Jharkhand,2020,COAL,DVC,OTHER PUBLIC,COOKING,0
India,Odisha,2014,COAL,MCL,CIL,NON-COOKING,110.439
India,Jharkhand,2013,COAL,CCL,CIL,COOKING,16.181
India,Gujarat,2017,LIGNITE,GMDCL,OTHER PUBLIC,LIGNITE,7.65
India,Chhattisgarh,2013,COAL,JNL,PRIVATE,NON-COOKING,0.48
India,Gujarat,2020,LIGNITE,GMDCL,OTHER PUBLIC,LIGNITE,6.957
India,Jharkhand,2011,COAL,ECL,CIL,NON-COOKING,15.444
India,Jharkhand,2011,COAL,CCL,CIL,NON-COOKING,32.086
India,Jharkhand,2017,COAL,BCCL,CIL,COOKING,30.58
India,Jharkhand,2016,COAL,ECL,CIL,NON-COOKING,19.035
India,Odisha,2016,COAL,GMR,PRIVATE,NON-COOKING,0.56
India,Jharkhand,2013,COAL,ESCL,PRIVATE,COOKING,0.094
India,Jharkhand,2018,COAL,BCCL,CIL,NON-COOKING,8.94
India,Jharkhand,2020,COAL,HIL,PRIVATE,NON-COOKING,0.055
India,Jharkhand,2019,COAL,BCCL,CIL,NON-COOKING,6.568
India,Jharkhand,2012,COAL,JSMDCL,OTHER PUBLIC,NON-COOKING,0.118
India,Jharkhand,2016,COAL,DVC,OTHER PUBLIC,COOKING,0.403
India,Jharkhand,2018,COAL,IISCO/SAIL,OTHER PUBLIC,NON-COOKING,0.001
India,Madhya Pradesh,2014,COAL,NCL,CIL,NON-COOKING,53.918
India,Andhra Pradesh,2011,COAL,SCCL,OTHER PUBLIC,NON-COOKING,30.08888684
India,Tamil Nadu,2016,LIGNITE,NLC,OTHER PUBLIC,LIGNITE,25.451
India,Madhya Pradesh,2015,COAL,WCL,CIL,COOKING,0.31
India,Chhattisgarh,2011,COAL,PIL,PRIVATE,NON-COOKING,1
India,Chhattisgarh,2013,COAL,MIL/MIEL,PRIVATE,NON-COOKING,0.795
India,Madhya Pradesh,2020,COAL,WCL,CIL,NON-COOKING,3.268
India,Madhya Pradesh,2020,COAL,RCCPL,PRIVATE,NON-COOKING,0.182
India,Jharkhand,2019,COAL,CCL,CIL,COOKING,9.34
India,Jharkhand,2012,COAL,TISCO/TSL,PRIVATE,COOKING,7.394
India,Chhattisgarh,2015,COAL,MIL/MIEL,PRIVATE,NON-COOKING,1
India,Tamil Nadu,2019,LIGNITE,NLC,OTHER PUBLIC,LIGNITE,23.041
India,Rajasthan,2019,LIGNITE,RSMML,OTHER PUBLIC,LIGNITE,1.317
India,Chhattisgarh,2011,COAL,JPL,PRIVATE,NON-COOKING,5.688
India,Madhya Pradesh,2019,COAL,NCL,CIL,NON-COOKING,81.228
India,Ladakh,2016,COAL,JKML,OTHER PUBLIC,NON-COOKING,0.000328063
India,Chhattisgarh,2020,COAL,SECL,CIL,COOKING,0.25
India,Madhya Pradesh,2019,COAL,JPVL,PRIVATE,NON-COOKING,2.8
India,Odisha,2018,COAL,GMR,PRIVATE,NON-COOKING,0.27
India,Odisha,2020,COAL,GMR,PRIVATE,COOKING,0
India,Rajasthan,2017,LIGNITE,VSLPPL,OTHER PUBLIC,LIGNITE,0.51
India,Tamil Nadu,2017,LIGNITE,NLC,OTHER PUBLIC,LIGNITE,26.2
India,Odisha,2020,COAL,MCL,CIL,NON-COOKING,140.358
India,Rajasthan,2017,LIGNITE,RSMML,OTHER PUBLIC,LIGNITE,0.55
India,Jammu And Kashmir,2016,COAL,JKML,OTHER PUBLIC,NON-COOKING,0.014671937
India,Jharkhand,2013,COAL,DVC,OTHER PUBLIC,NON-COOKING,0.203
India,Chhattisgarh,2019,COAL,HIL,PRIVATE,NON-COOKING,1.375
India,Odisha,2012,COAL,HIL,PRIVATE,NON-COOKING,2.357
India,Maharashtra,2018,COAL,TUML,PRIVATE,NON-COOKING,0.175
India,Jharkhand,2017,COAL,IISCO/SAIL,OTHER PUBLIC,COOKING,0.7
India,Madhya Pradesh,2011,COAL,NCL,CIL,NON-COOKING,50.727
India,Jharkhand,2015,COAL,TISCO/TSL,PRIVATE,NON-COOKING,0.016
India,Jharkhand,2015,COAL,BCCL,CIL,NON-COOKING,3.27
India,Maharashtra,2014,COAL,TUML,PRIVATE,NON-COOKING,0.317
India,Chhattisgarh,2020,COAL,NTPC,OTHER PUBLIC,NON-COOKING,0.19
India,Chhattisgarh,2013,COAL,SECL,CIL,COOKING,0.157
India,Arunachal Pradesh,2012,COAL,APMDTCL,OTHER PUBLIC,NON-COOKING,0.221
India,Jharkhand,2013,COAL,TISCO/TSL,PRIVATE,COOKING,7.214
India,Gujarat,2011,LIGNITE,GHCL,PRIVATE,LIGNITE,0.311
India,Madhya Pradesh,2016,COAL,JPVL,PRIVATE,NON-COOKING,2.8
India,Madhya Pradesh,2018,COAL,SECL,CIL,NON-COOKING,12.106
India,Madhya Pradesh,2012,COAL,WCL,CIL,COOKING,0.319
India,Assam,2014,COAL,NEC,OTHER PUBLIC,NON-COOKING,0.664
India,Chhattisgarh,2013,COAL,PIL,PRIVATE,NON-COOKING,1
India,Madhya Pradesh,2020,COAL,SPL,PRIVATE,COOKING,0
India,Jharkhand,2014,COAL,DVC,OTHER PUBLIC,NON-COOKING,0.054
India,Chhattisgarh,2020,COAL,RRVUNL,OTHER PUBLIC,COOKING,0
India,Rajasthan,2015,LIGNITE,BLMCL,OTHER PUBLIC,LIGNITE,7
India,Madhya Pradesh,2020,COAL,SPL,PRIVATE,NON-COOKING,18.7
India,Jharkhand,2019,COAL,JSMDCL,OTHER PUBLIC,NON-COOKING,0.228
India,Chhattisgarh,2011,COAL,JNL,PRIVATE,NON-COOKING,0.406
India,Jharkhand,2014,COAL,ESCL,PRIVATE,COOKING,0.41
India,Gujarat,2019,LIGNITE,GMDCL,OTHER PUBLIC,LIGNITE,9.16
India,Odisha,2020,COAL,MCL,CIL,COOKING,0
